Subjectline,Region,Division,MAP_B&B,Email_Type,tactic_nm,tactic_id,# of Contacts,# of Emails Sent,Delivered,Bounced,Deliver Rate,Opened,Open Rate,Clicked,Click Rate,Sum of Win $
革新的な顆粒状培地による細胞培養ソリューション,APJ,To Be Mapped,Batch & Blast,Awareness,EM5107998_1_BIOPROAWARENJP_20231212,EM5107998,3261,3263,3263,0,100%,1664,51%,264,16%,
革新的なドライフォーマット培地による細胞培養ソリューション,APJ,To Be Mapped,Batch & Blast,Awareness,EM5104516_1_BIOPROAWARENJP_20230724,EM5104516,4283,4284,4284,0,100%,2108,49%,236,11%,
降低 CAR-T 细胞疗法的风险,GC,To Be Mapped,MAP,Awareness,GC-EM2-Email2-Greater China,EM5088704,375,433,420,13,97%,151,35%,12,8%,
阅读白皮书：细胞疗法的新时代,GC,To Be Mapped,MAP,Awareness,GC-EM1-Email1-Greater China,EM5088703,405,473,461,12,97%,185,39%,10,5%,
阅读应用说明了解细胞解离应用中实现优于动物胰蛋白酶的卓越性能,GC,BCD,Batch & Blast,To Be Mapped,Gibco_Catalog_20220325,EM5090437,2003,2003,1955,48,98%,577,29%,51,9%,$416743
閱讀文章：永續性的收穫過程,APJ,SUD,Batch & Blast,To Be Mapped,EM5100878_DynaSpin NPI,EM5100878,1930,1930,1930,0,100%,419,22%,16,4%,$993345
閱讀文章：永續性的收穫過程,To Be Mapped,SUD,Batch & Blast,To Be Mapped,EM5100878_DynaSpin NPI,EM5100878,221,221,221,0,100%,49,22%,1,2%,
重新定义慢病毒载体纯化——全球首款慢病毒载体亲和填料重磅上市,GC,PPA,Batch & Blast,To Be Mapped,EDM_PUR_20220829,EM5095592,344,344,320,24,93%,78,23%,22,28%,
運用最先進的培養基和饋料系統，提高您的生產力和蛋白質品質,APJ,BCD,Batch & Blast,To Be Mapped,EM5099321_Gibco-Efficient-Pro-media-and-feed-system,EM5099321,2201,2201,2201,0,100%,363,16%,23,6%,
運用最先進的培養基和饋料系統，提高您的生產力和蛋白質品質,To Be Mapped,BCD,Batch & Blast,To Be Mapped,EM5099321_Gibco-Efficient-Pro-media-and-feed-system,EM5099321,266,266,266,0,100%,37,14%,0,0%,
透過本手冊，開啟生物製藥的黴漿菌檢測,APJ,To Be Mapped,Batch & Blast,Awareness,EM5094108_BPG Vaccine Series Email EM4,EM5094108,705,705,702,3,100%,259,37%,42,16%,
